Event ID,Date,Year,Month,Month Number,Week,Plant,Production Line,Machine ID,Machine Type,Shift,Operator ID,Technician,Downtime Category,Downtime Reason,Planned or Unplanned,Root Cause,Downtime Minutes,Downtime Hours,Repair Cost EURO,Cost per Minute,Production Units Lost,Product Type,Status,Resolution Time,Maintenance Type
DT-100010,2023-01-02,2023,January,1,1,Plant A - Stuttgart,Line 2,MC-8073,Packaging Unit,Morning (06:00-14:00),OP-1385,B. Klein,Preventive Maintenance,Calibration,Planned,Scheduled maintenance plan (TPM calendar),58.4,0.97,268.15,4.59,55,Medical Device,Resolved,1.42,Preventive
DT-100019,2023-01-03,2023,January,1,1,Plant B - Lyon,Line 1,MC-6684,Injection Molding,Morning (06:00-14:00),OP-1247,J. Dubois,Electrical Failure,Sensor Fault,Unplanned,Voltage spike,30.7,0.51,481.3,15.68,38,Industrial Parts,In Progress,0.39,Emergency
DT-100021,2023-01-03,2023,January,1,1,Plant C - Katowice,Line 2,MC-5166,Robotic Welder,Morning (06:00-14:00),OP-1154,N. Horvat,Preventive Maintenance,Calibration,Planned,Scheduled maintenance plan (TPM calendar),57.3,0.95,341.69,5.96,54,Industrial Parts,Resolved,1.21,Predictive
DT-100020,2023-01-03,2023,January,1,1,Plant D - Bratislava,Line 1,MC-1874,Packaging Unit,Afternoon (14:00-22:00),OP-1104,M. Novak,Electrical Failure,Wiring Short Circuit,Unplanned,Corroded contact,67.2,1.12,429.8,6.4,81,Consumer Electronics,Resolved,1.55,Corrective
DT-100018,2023-01-03,2023,January,1,1,Plant A - Stuttgart,Line 3,MC-4621,Packaging Unit,Afternoon (14:00-22:00),OP-1149,A. Schmidt,Mechanical Failure,Belt Breakage,Unplanned,Fatigue crack,146.4,2.44,888.11,6.07,189,Automotive Component,In Progress,1.17,Emergency
DT-100015,2023-01-03,2023,January,1,1,Plant B - Lyon,Line 1,MC-5990,CNC Machine,Night (22:00-06:00),OP-1056,J. Dubois,Preventive Maintenance,Calibration,Planned,Scheduled maintenance plan (TPM calendar),134.5,2.24,930.21,6.92,88,Automotive Component,Resolved,2.73,Predictive
DT-100016,2023-01-03,2023,January,1,1,Plant B - Lyon,Line 2,MC-1611,Injection Molding,Morning (06:00-14:00),OP-1171,M. Novak,Electrical Failure,Power Supply Failure,Unplanned,Faulty relay,38.8,0.65,235.88,6.08,56,Medical Device,Resolved,0.79,Emergency
DT-100014,2023-01-03,2023,January,1,1,Plant A - Stuttgart,Line 3,MC-5502,Conveyor System,Morning (06:00-14:00),OP-1122,F. Rousseau,Preventive Maintenance,Scheduled Lubrication,Planned,Scheduled maintenance plan (TPM calendar),96.4,1.61,342.61,3.55,41,Consumer Electronics,Resolved,2.19,Predictive
DT-100017,2023-01-03,2023,January,1,1,Plant D - Bratislava,Line 1,MC-7909,Injection Molding,Afternoon (14:00-22:00),OP-1203,B. Klein,Electrical Failure,Control Panel Fault,Unplanned,Overheated component,145.0,2.42,952.62,6.57,240,Consumer Electronics,Pending,,Corrective
DT-100022,2023-01-04,2023,January,1,1,Plant C - Katowice,Line 1,MC-1394,Conveyor System,Afternoon (14:00-22:00),OP-1237,A. Schmidt,Utility Failure,Power Outage,Unplanned,Compressor failure,104.0,1.73,537.42,5.17,50,Automotive Component,Resolved,2.1,Corrective
DT-100023,2023-01-04,2023,January,1,1,Plant C - Katowice,Line 3,MC-5280,Packaging Unit,Morning (06:00-14:00),OP-1277,K. Varga,Software/PLC Error,SCADA Timeout,Unplanned,Configuration drift,63.5,1.06,413.69,6.51,65,Packaging Materials,Pending,,Corrective
DT-100024,2023-01-04,2023,January,1,1,Plant C - Katowice,Line 3,MC-7027,Assembly Robot,Morning (06:00-14:00),OP-1054,M. Novak,Mechanical Failure,Belt Breakage,Unplanned,Component wear beyond tolerance,218.2,3.64,1330.07,6.1,191,Industrial Parts,Resolved,6.17,Corrective
DT-100025,2023-01-04,2023,January,1,1,Plant A - Stuttgart,Line 2,MC-2152,Assembly Robot,Afternoon (14:00-22:00),OP-1150,B. Klein,Material Shortage,Raw Material Delay,Unplanned,Supplier logistics delay,176.3,2.94,2499.72,14.18,182,Packaging Materials,Resolved,4.12,N/A
DT-100026,2023-01-04,2023,January,1,1,Plant D - Bratislava,Line 2,MC-2798,Press Machine,Afternoon (14:00-22:00),OP-1139,J. Dubois,Tooling Issue,Die Misalignment,Unplanned,Material hardness variance,53.1,0.89,534.21,10.06,35,Consumer Electronics,Resolved,0.89,Corrective
DT-100027,2023-01-04,2023,January,1,1,Plant A - Stuttgart,Line 2,MC-7849,Packaging Unit,Afternoon (14:00-22:00),OP-1132,L. Fischer,Mechanical Failure,Gearbox Malfunction,Unplanned,Misalignment,280.4,4.67,1790.02,6.38,361,Automotive Component,Resolved,7.47,Corrective
DT-100033,2023-01-05,2023,January,1,1,Plant A - Stuttgart,Line 1,MC-4896,Conveyor System,Morning (06:00-14:00),OP-1209,J. Dubois,Quality Inspection,Calibration Check,Planned,Dimensional deviation,53.2,0.89,135.1,2.54,24,Packaging Materials,In Progress,0.75,Preventive
DT-100034,2023-01-05,2023,January,1,1,Plant A - Stuttgart,Line 2,MC-2152,Assembly Robot,Morning (06:00-14:00),OP-1140,P. Kowalski,Utility Failure,Water Supply Interruption,Unplanned,Chiller malfunction,106.9,1.78,1076.29,10.07,102,Industrial Parts,Resolved,2.52,Emergency
DT-100032,2023-01-05,2023,January,1,1,Plant A - Stuttgart,Line 3,MC-5502,Conveyor System,Morning (06:00-14:00),OP-1048,F. Rousseau,Changeover,Tooling Changeover,Planned,Scheduled production changeover,56.8,0.95,169.32,2.98,29,Consumer Electronics,Resolved,1.54,N/A
DT-100029,2023-01-05,2023,January,1,1,Plant A - Stuttgart,Line 2,MC-9779,Assembly Robot,Afternoon (14:00-22:00),OP-1316,T. Weber,Tooling Issue,Tool Breakage,Unplanned,Material hardness variance,95.5,1.59,1214.36,12.72,91,Packaging Materials,Resolved,2.79,Corrective
DT-100030,2023-01-05,2023,January,1,1,Plant B - Lyon,Line 1,MC-5990,CNC Machine,Afternoon (14:00-22:00),OP-1151,R. Nagy,Electrical Failure,Power Supply Failure,Unplanned,Faulty relay,62.0,1.03,775.81,12.51,44,Medical Device,Pending,,Emergency
DT-100031,2023-01-05,2023,January,1,1,Plant B - Lyon,Line 1,MC-6684,Injection Molding,Afternoon (14:00-22:00),OP-1065,L. Fischer,Changeover,Recipe Changeover,Planned,Scheduled production changeover,93.0,1.55,594.51,6.39,152,Packaging Materials,Resolved,1.56,N/A
DT-100028,2023-01-05,2023,January,1,1,Plant A - Stuttgart,Line 1,MC-1773,Press Machine,Morning (06:00-14:00),OP-1362,E. Wagner,Tooling Issue,Mold Damage,Unplanned,Exceeded tool life,52.7,0.88,351.9,6.68,48,Consumer Electronics,In Progress,0.54,Corrective
DT-100035,2023-01-06,2023,January,1,1,Plant C - Katowice,Line 3,MC-5280,Packaging Unit,Morning (06:00-14:00),OP-1374,A. Schmidt,Operator Error,Incorrect Setup,Unplanned,Procedure not followed,48.2,0.8,237.67,4.93,62,Packaging Materials,Resolved,1.24,N/A
DT-100036,2023-01-07,2023,January,1,1,Plant B - Lyon,Line 2,MC-7100,Painting Robot,Morning (06:00-14:00),OP-1154,F. Rousseau,Electrical Failure,Control Panel Fault,Unplanned,Corroded contact,83.1,1.39,927.61,11.16,60,Medical Device,In Progress,0.76,Corrective
DT-100037,2023-01-07,2023,January,1,1,Plant A - Stuttgart,Line 2,MC-2152,Assembly Robot,Night (22:00-06:00),OP-1028,S. Kaczmarek,Operator Error,Safety Interlock Triggered,Unplanned,Distraction,39.4,0.66,306.07,7.77,34,Automotive Component,Pending,,N/A
DT-100044,2023-01-08,2023,January,1,1,Plant D - Bratislava,Line 1,MC-6667,Press Machine,Morning (06:00-14:00),OP-1253,K. Varga,Mechanical Failure,Belt Breakage,Unplanned,Misalignment,69.2,1.15,591.92,8.55,59,Consumer Electronics,Resolved,1.76,Corrective
DT-100043,2023-01-08,2023,January,1,1,Plant B - Lyon,Line 2,MC-7304,Press Machine,Night (22:00-06:00),OP-1376,N. Horvat,Electrical Failure,Wiring Short Circuit,Unplanned,Overheated component,47.3,0.79,285.91,6.04,36,Medical Device,Resolved,0.91,Emergency
DT-100042,2023-01-08,2023,January,1,1,Plant A - Stuttgart,Line 1,MC-4896,Conveyor System,Morning (06:00-14:00),OP-1072,M. Novak,Electrical Failure,Sensor Fault,Unplanned,Voltage spike,21.5,0.36,118.7,5.52,10,Industrial Parts,In Progress,0.25,Corrective
DT-100045,2023-01-08,2023,January,1,1,Plant C - Katowice,Line 1,MC-2388,Assembly Robot,Night (22:00-06:00),OP-1298,K. Varga,Mechanical Failure,Bearing Failure,Unplanned,Fatigue crack,207.4,3.46,1900.59,9.16,166,Packaging Materials,In Progress,1.72,Corrective
DT-100040,2023-01-08,2023,January,1,1,Plant C - Katowice,Line 3,MC-7027,Assembly Robot,Morning (06:00-14:00),OP-1073,D. Muller,Changeover,Product Changeover,Planned,Scheduled production changeover,147.2,2.45,1628.79,11.07,136,Consumer Electronics,In Progress,1.78,N/A
DT-100039,2023-01-08,2023,January,1,1,Plant A - Stuttgart,Line 2,MC-8073,Packaging Unit,Night (22:00-06:00),OP-1058,B. Klein,Operator Error,Manual Stop,Unplanned,Procedure not followed,45.3,0.76,222.97,4.92,49,Medical Device,Pending,,N/A
DT-100038,2023-01-08,2023,January,1,1,Plant B - Lyon,Line 2,MC-7304,Press Machine,Night (22:00-06:00),OP-1091,J. Dubois,Quality Inspection,Calibration Check,Planned,Dimensional deviation,38.1,0.64,210.25,5.52,35,Consumer Electronics,Resolved,0.81,Preventive
DT-100041,2023-01-08,2023,January,1,1,Plant C - Katowice,Line 2,MC-9148,Injection Molding,Night (22:00-06:00),OP-1359,P. Kowalski,Quality Inspection,Non-Conformance Review,Planned,Dimensional deviation,45.2,0.75,262.33,5.8,63,Medical Device,In Progress,0.36,Preventive
DT-100049,2023-01-09,2023,January,1,2,Plant A - Stuttgart,Line 1,MC-1773,Press Machine,Morning (06:00-14:00),OP-1310,A. Schmidt,Material Shortage,Supplier Late Delivery,Unplanned,Inventory planning gap,70.3,1.17,518.69,7.38,57,Packaging Materials,Resolved,1.5,N/A
DT-100048,2023-01-09,2023,January,1,2,Plant B - Lyon,Line 1,MC-8447,Press Machine,Morning (06:00-14:00),OP-1357,B. Klein,Electrical Failure,Wiring Short Circuit,Unplanned,Voltage spike,46.8,0.78,319.89,6.84,39,Medical Device,Resolved,1.29,Emergency
DT-100050,2023-01-09,2023,January,1,2,Plant A - Stuttgart,Line 1,MC-1773,Press Machine,Afternoon (14:00-22:00),OP-1394,D. Muller,Electrical Failure,Wiring Short Circuit,Unplanned,Corroded contact,52.9,0.88,320.68,6.06,46,Packaging Materials,Pending,,Corrective
DT-100046,2023-01-09,2023,January,1,2,Plant A - Stuttgart,Line 3,MC-4621,Packaging Unit,Afternoon (14:00-22:00),OP-1374,N. Horvat,Tooling Issue,Tool Breakage,Unplanned,Incorrect feed rate,148.6,2.48,879.93,5.92,176,Medical Device,Resolved,3.12,Corrective
DT-100047,2023-01-09,2023,January,1,2,Plant C - Katowice,Line 2,MC-4697,Painting Robot,Afternoon (14:00-22:00),OP-1070,L. Fischer,Mechanical Failure,Motor Burnout,Unplanned,Misalignment,88.8,1.48,715.9,8.06,63,Medical Device,Resolved,1.66,Corrective
DT-100051,2023-01-10,2023,January,1,2,Plant C - Katowice,Line 1,MC-1394,Conveyor System,Afternoon (14:00-22:00),OP-1034,H. Zajac,Mechanical Failure,Gearbox Malfunction,Unplanned,Misalignment,157.8,2.63,735.45,4.66,84,Packaging Materials,Resolved,3.4,Emergency
DT-100052,2023-01-10,2023,January,1,2,Plant D - Bratislava,Line 1,MC-7909,Injection Molding,Night (22:00-06:00),OP-1303,B. Klein,Operator Error,Safety Interlock Triggered,Unplanned,Procedure not followed,37.7,0.63,230.8,6.12,62,Industrial Parts,Resolved,0.71,N/A
DT-100053,2023-01-10,2023,January,1,2,Plant A - Stuttgart,Line 2,MC-8073,Packaging Unit,Afternoon (14:00-22:00),OP-1106,H. Zajac,Changeover,Tooling Changeover,Planned,Scheduled production changeover,101.2,1.69,521.9,5.16,119,Medical Device,In Progress,0.72,N/A
DT-100054,2023-01-10,2023,January,1,2,Plant B - Lyon,Line 2,MC-5010,Painting Robot,Afternoon (14:00-22:00),OP-1184,D. Muller,Electrical Failure,Power Supply Failure,Unplanned,Voltage spike,20.9,0.35,175.14,8.38,16,Automotive Component,Resolved,0.4,Corrective
DT-100055,2023-01-10,2023,January,1,2,Plant A - Stuttgart,Line 1,MC-4896,Conveyor System,Morning (06:00-14:00),OP-1089,P. Kowalski,Changeover,Recipe Changeover,Planned,Scheduled production changeover,48.9,0.81,236.81,4.84,24,Automotive Component,Resolved,1.41,N/A
DT-100056,2023-01-10,2023,January,1,2,Plant B - Lyon,Line 1,MC-1574,Painting Robot,Afternoon (14:00-22:00),OP-1229,N. Horvat,Changeover,Recipe Changeover,Planned,Scheduled production changeover,48.9,0.81,224.03,4.58,31,Medical Device,Resolved,0.85,N/A
DT-100062,2023-01-11,2023,January,1,2,Plant C - Katowice,Line 1,MC-7702,Painting Robot,Afternoon (14:00-22:00),OP-1194,A. Schmidt,Mechanical Failure,Bearing Failure,Unplanned,Lubrication failure,23.1,0.39,191.18,8.28,17,Industrial Parts,Resolved,0.52,Corrective
DT-100063,2023-01-11,2023,January,1,2,Plant C - Katowice,Line 2,MC-8160,Conveyor System,Afternoon (14:00-22:00),OP-1254,L. Fischer,Mechanical Failure,Belt Breakage,Unplanned,Component wear beyond tolerance,97.1,1.62,446.45,4.6,50,Automotive Component,Resolved,1.88,Emergency
DT-100061,2023-01-11,2023,January,1,2,Plant D - Bratislava,Line 1,MC-6667,Press Machine,Night (22:00-06:00),OP-1073,H. Zajac,Mechanical Failure,Motor Burnout,Unplanned,Lubrication failure,120.8,2.01,827.15,6.85,91,Packaging Materials,Resolved,2.17,Emergency
DT-100064,2023-01-11,2023,January,1,2,Plant A - Stuttgart,Line 2,MC-8073,Packaging Unit,Morning (06:00-14:00),OP-1237,M. Novak,Tooling Issue,Mold Damage,Unplanned,Incorrect feed rate,134.7,2.24,721.96,5.36,149,Packaging Materials,Resolved,3.41,Corrective
DT-100059,2023-01-11,2023,January,1,2,Plant B - Lyon,Line 2,MC-7304,Press Machine,Night (22:00-06:00),OP-1249,M. Novak,Operator Error,Manual Stop,Unplanned,Inadequate training,37.8,0.63,388.2,10.27,33,Medical Device,Resolved,0.97,N/A
DT-100057,2023-01-11,2023,January,1,2,Plant A - Stuttgart,Line 2,MC-7849,Packaging Unit,Morning (06:00-14:00),OP-1086,E. Wagner,Material Shortage,Raw Material Delay,Unplanned,Inventory planning gap,253.6,4.23,1253.43,4.94,313,Consumer Electronics,Resolved,6.76,N/A
DT-100060,2023-01-11,2023,January,1,2,Plant D - Bratislava,Line 1,MC-4916,Press Machine,Night (22:00-06:00),OP-1223,D. Muller,Tooling Issue,Tool Breakage,Unplanned,Incorrect feed rate,49.8,0.83,323.11,6.49,36,Medical Device,Resolved,0.86,Corrective
DT-100058,2023-01-11,2023,January,1,2,Plant A - Stuttgart,Line 3,MC-2642,Injection Molding,Night (22:00-06:00),OP-1107,M. Novak,Operator Error,Safety Interlock Triggered,Unplanned,Procedure not followed,12.7,0.21,76.54,6.03,19,Packaging Materials,Resolved,0.32,N/A
DT-100065,2023-01-12,2023,January,1,2,Plant C - Katowice,Line 1,MC-1394,Conveyor System,Morning (06:00-14:00),OP-1301,M. Novak,Changeover,Product Changeover,Planned,Scheduled production changeover,73.1,1.22,437.16,5.98,36,Consumer Electronics,Pending,,N/A
DT-100066,2023-01-12,2023,January,1,2,Plant D - Bratislava,Line 2,MC-2798,Press Machine,Night (22:00-06:00),OP-1333,N. Horvat,Changeover,Tooling Changeover,Planned,Scheduled production changeover,92.3,1.54,763.78,8.27,87,Consumer Electronics,Resolved,2.75,N/A
DT-100067,2023-01-12,2023,January,1,2,Plant B - Lyon,Line 1,MC-6684,Injection Molding,Afternoon (14:00-22:00),OP-1104,L. Fischer,Mechanical Failure,Bearing Failure,Unplanned,Component wear beyond tolerance,141.2,2.35,1547.98,10.96,219,Packaging Materials,In Progress,1.63,Emergency
DT-100068,2023-01-12,2023,January,1,2,Plant D - Bratislava,Line 2,MC-3594,Painting Robot,Afternoon (14:00-22:00),OP-1132,H. Zajac,Electrical Failure,Control Panel Fault,Unplanned,Voltage spike,66.1,1.1,848.26,12.83,40,Medical Device,Pending,,Emergency
DT-100069,2023-01-12,2023,January,1,2,Plant A - Stuttgart,Line 1,MC-4896,Conveyor System,Afternoon (14:00-22:00),OP-1069,R. Nagy,Electrical Failure,Wiring Short Circuit,Unplanned,Overheated component,69.4,1.16,541.31,7.8,32,Consumer Electronics,Resolved,1.75,Corrective
DT-100070,2023-01-13,2023,January,1,2,Plant D - Bratislava,Line 1,MC-6667,Press Machine,Night (22:00-06:00),OP-1189,H. Zajac,Mechanical Failure,Gearbox Malfunction,Unplanned,Component wear beyond tolerance,117.6,1.96,1200.24,10.21,84,Consumer Electronics,Resolved,3.18,Emergency
DT-100071,2023-01-13,2023,January,1,2,Plant C - Katowice,Line 2,MC-8160,Conveyor System,Morning (06:00-14:00),OP-1385,R. Nagy,Changeover,Tooling Changeover,Planned,Scheduled production changeover,33.6,0.56,157.66,4.69,15,Industrial Parts,Resolved,0.88,N/A
DT-100072,2023-01-13,2023,January,1,2,Plant C - Katowice,Line 1,MC-2388,Assembly Robot,Afternoon (14:00-22:00),OP-1113,K. Varga,Electrical Failure,Wiring Short Circuit,Unplanned,Overheated component,231.5,3.86,2873.24,12.41,197,Medical Device,Resolved,5.85,Corrective
DT-100073,2023-01-13,2023,January,1,2,Plant A - Stuttgart,Line 3,MC-5053,Conveyor System,Night (22:00-06:00),OP-1048,E. Wagner,Changeover,Product Changeover,Planned,Scheduled production changeover,70.6,1.18,398.09,5.64,32,Consumer Electronics,Resolved,2.12,N/A
DT-100074,2023-01-13,2023,January,1,2,Plant A - Stuttgart,Line 2,MC-8073,Packaging Unit,Afternoon (14:00-22:00),OP-1301,A. Schmidt,Utility Failure,Cooling System Failure,Unplanned,Chiller malfunction,156.8,2.61,1028.95,6.56,158,Industrial Parts,Resolved,4.24,Emergency
DT-100079,2023-01-14,2023,January,1,2,Plant A - Stuttgart,Line 1,MC-2813,Packaging Unit,Night (22:00-06:00),OP-1326,M. Novak,Mechanical Failure,Bearing Failure,Unplanned,Component wear beyond tolerance,218.5,3.64,1346.08,6.16,252,Medical Device,Resolved,3.66,Corrective
DT-100082,2023-01-14,2023,January,1,2,Plant A - Stuttgart,Line 1,MC-4896,Conveyor System,Morning (06:00-14:00),OP-1164,M. Novak,Material Shortage,Component Stockout,Unplanned,Customs delay,121.9,2.03,1110.34,9.11,68,Packaging Materials,Resolved,2.7,N/A
DT-100081,2023-01-14,2023,January,1,2,Plant A - Stuttgart,Line 1,MC-2813,Packaging Unit,Afternoon (14:00-22:00),OP-1091,J. Dubois,Quality Inspection,Non-Conformance Review,Planned,Dimensional deviation,54.5,0.91,284.31,5.22,55,Packaging Materials,In Progress,0.42,Preventive
DT-100080,2023-01-14,2023,January,1,2,Plant C - Katowice,Line 2,MC-1687,Injection Molding,Afternoon (14:00-22:00),OP-1135,A. Schmidt,Mechanical Failure,Hydraulic Leak,Unplanned,Misalignment,178.4,2.97,1188.87,6.66,224,Automotive Component,Resolved,4.73,Emergency
DT-100077,2023-01-14,2023,January,1,2,Plant B - Lyon,Line 2,MC-7304,Press Machine,Morning (06:00-14:00),OP-1209,E. Wagner,Operator Error,Incorrect Setup,Unplanned,Procedure not followed,12.1,0.2,100.52,8.31,11,Automotive Component,Resolved,0.35,N/A
DT-100076,2023-01-14,2023,January,1,2,Plant A - Stuttgart,Line 1,MC-1773,Press Machine,Morning (06:00-14:00),OP-1037,D. Muller,Electrical Failure,Power Supply Failure,Unplanned,Faulty relay,131.8,2.2,773.74,5.87,119,Packaging Materials,Resolved,3.56,Corrective
DT-100075,2023-01-14,2023,January,1,2,Plant A - Stuttgart,Line 1,MC-6890,Press Machine,Afternoon (14:00-22:00),OP-1362,T. Weber,Tooling Issue,Tool Wear,Unplanned,Exceeded tool life,148.9,2.48,1258.8,8.45,113,Industrial Parts,Resolved,3.84,Corrective
DT-100078,2023-01-14,2023,January,1,2,Plant C - Katowice,Line 3,MC-4933,Painting Robot,Afternoon (14:00-22:00),OP-1373,R. Nagy,Quality Inspection,Non-Conformance Review,Planned,Customer complaint follow-up,62.5,1.04,420.33,6.73,44,Industrial Parts,Resolved,1.73,Preventive
DT-100083,2023-01-15,2023,January,1,2,Plant C - Katowice,Line 2,MC-9148,Injection Molding,Night (22:00-06:00),OP-1288,R. Nagy,Utility Failure,Water Supply Interruption,Unplanned,Grid instability,222.3,3.71,1188.39,5.35,287,Industrial Parts,Resolved,4.04,Corrective
DT-100084,2023-01-15,2023,January,1,2,Plant C - Katowice,Line 2,MC-9148,Injection Molding,Afternoon (14:00-22:00),OP-1106,N. Horvat,Software/PLC Error,Firmware Crash,Unplanned,Software bug,79.8,1.33,824.55,10.33,109,Medical Device,Resolved,2.37,Corrective
DT-100085,2023-01-15,2023,January,1,2,Plant A - Stuttgart,Line 1,MC-4896,Conveyor System,Afternoon (14:00-22:00),OP-1058,P. Kowalski,Mechanical Failure,Bearing Failure,Unplanned,Fatigue crack,124.3,2.07,684.33,5.51,56,Automotive Component,Resolved,3.65,Emergency
DT-100086,2023-01-16,2023,January,1,3,Plant D - Bratislava,Line 2,MC-7141,Robotic Welder,Morning (06:00-14:00),OP-1034,T. Weber,Changeover,Recipe Changeover,Planned,Scheduled production changeover,99.9,1.67,1024.48,10.26,93,Packaging Materials,In Progress,1.47,N/A
DT-100087,2023-01-16,2023,January,1,3,Plant C - Katowice,Line 1,MC-2751,Press Machine,Morning (06:00-14:00),OP-1132,M. Novak,Material Shortage,Component Stockout,Unplanned,Supplier logistics delay,257.6,4.29,2115.36,8.21,177,Packaging Materials,Resolved,4.89,N/A
DT-100088,2023-01-16,2023,January,1,3,Plant C - Katowice,Line 2,MC-9148,Injection Molding,Afternoon (14:00-22:00),OP-1009,A. Schmidt,Electrical Failure,Control Panel Fault,Unplanned,Faulty relay,197.5,3.29,1141.53,5.78,334,Medical Device,Resolved,5.03,Corrective
DT-100089,2023-01-16,2023,January,1,3,Plant A - Stuttgart,Line 3,MC-2642,Injection Molding,Morning (06:00-14:00),OP-1147,F. Rousseau,Changeover,Product Changeover,Planned,Scheduled production changeover,102.5,1.71,517.2,5.05,176,Consumer Electronics,Resolved,2.87,N/A
DT-100090,2023-01-16,2023,January,1,3,Plant C - Katowice,Line 3,MC-3041,Injection Molding,Afternoon (14:00-22:00),OP-1288,H. Zajac,Software/PLC Error,SCADA Timeout,Unplanned,Unhandled exception,144.2,2.4,1191.51,8.26,220,Medical Device,Resolved,3.92,Corrective
DT-100091,2023-01-16,2023,January,1,3,Plant C - Katowice,Line 2,MC-1687,Injection Molding,Night (22:00-06:00),OP-1054,M. Novak,Material Shortage,Raw Material Delay,Unplanned,Supplier logistics delay,225.7,3.76,1972.45,8.74,377,Consumer Electronics,Resolved,5.41,N/A
DT-100096,2023-01-17,2023,January,1,3,Plant C - Katowice,Line 1,MC-2751,Press Machine,Morning (06:00-14:00),OP-1009,S. Kaczmarek,Quality Inspection,Calibration Check,Planned,Random audit,27.4,0.46,220.87,8.06,20,Consumer Electronics,Pending,,Preventive
